hour,avg_aqi
0,97.44485871962138
1,93.3623683810234
2,94.28083304507392
3,93.3434471998896
4,95.04073814128307
5,97.67804747439445
6,96.99335573911667
7,98.49050893682114
8,98.60438105378832
9,96.52741821606953
10,94.38393311804913
11,96.3725138082572
12,95.39229405326331
13,91.77246480123371
14,92.99684006316322
15,98.22964045490538
16,93.81356264863696
17,97.30115368465583
18,96.37100841629673
19,95.32998093707221
20,99.30224289356822
21,98.35365555116108
22,95.81909036636353
23,95.26491119010107
