Model,Dataset,RMSE,MAE,R²,MAPE,Rank
XGBoost,Val,16.790953716480324,3.0417089462280273,0.9598141312599182,1.8613781780004501,3
XGBoost Tuned,Val,16.324182762732526,3.1607682704925537,0.962017297744751,2.0367326214909554,2
LightGBM,Val,18.602530472115117,3.2299293659602486,0.9506750375629321,2.2780368768128105,4
GradientBoosting,Val,13.968868411104967,2.104480918568648,0.9721871709481843,0.8165349861564382,1
