Model,RMSE,MAE,R²,MAPE,Rank
Mean Predictor,87.57411840459153,61.19944362347029,-0.0931361635522252,339.4743090133116,4
LR - Val,13.194461598302714,2.0027767337785387,0.9751854695960643,4.695716828876651,1
Ridge - Val,13.198954484050478,1.9946931147396776,0.9751685673782876,4.784846934377687,2
RF - Val,15.073304106106649,2.2184413145938815,0.9676153180391434,0.8166137450818284,3
